A,HMIGR,F,TOTAL,PER,FI	2805140 	2839017 	2861164 	2863959 	2857975 	2847016 	2830121 	2810044 	2788877 	2771081 	2756582 	2743907 	2728914 	2708084 	2680438 	2650330 	2622280 	2597425 
A,HMIGR,F,TOTAL,PER,FR	35035940 	35229080 	35532197 	36119997 	36686932 	37188346 	37508209 	37674468 	37748951 	37793905 	37855528 	37961658 	38077935 	38161674 	38194977 	38215818 	38229422 	38215910 
A,HMIGR,F,TOTAL,PER,HR	2000012 	1994685 	1969841 	1903539 	1847180 	1792811 	1739335 	1687803 	1640370 	1598837 	1564521 	1535589 	1513283 	1497603 	1488975 	1486905 	1489651 	1497128 
A,HMIGR,F,TOTAL,PER,HU	5044135 	5044661 	5025283 	4966393 	4916587 	4880090 	4856748 	4838702 	4829387 	4821796 	4806282 	4789427 	4783036 	4790925 	4811756 	4840954 	4876461 	4916245 
A,HMIGR,F,TOTAL,PER,IE	2556297 	2623904 	2687791 	2810199 	2935758 	3063860 	3179050 	3272464 	3337626 	3379578 	3406100 	3424978 	3439121 	3447297 	3447261 	3436967 	3415906 	3386387 
A,HMIGR,F,TOTAL,PER,IS	183153 	187677 	195200 	211138 	226233 	240381 	253062 	264398 	274846 	284719 	293999 	302323 	309352 	314989 	319280 	322464 	325000 	327281 
A,HMIGR,F,TOTAL,PER,IT	30211177 	30235857 	30224619 	30231684 	30301461 	30388325 	30382201 	30214855 	29880918 	29434916 	28986424 	28647123 	28455045 	28371927 	28324459 	28269338 	28201196 	28122648 
A,HMIGR,F,TOTAL,PER,LT	1499399 	1538001 	1530036 	1454214 	1382288 	1323723 	1267171 	1212123 	1159308 	1110229 	1066190 	1028216 	997052 	971451 	950792 	936151 	929581 	929484 
A,HMIGR,F,TOTAL,PER,LU	320333 	329401 	341944 	368587 	393257 	415688 	435180 	451889 	466003 	477976 	488080 	496069 	502012 	506007 	508360 	509627 	510528 	511470 
A,HMIGR,F,TOTAL,PER,LV	1006700 	1018051 	1000752 	939344 	885445 	843952 	807637 	774479 	743233 	713167 	685268 	662307 	644918 	631684 	623155 	619600 	621356 	625740 
A,HMIGR,F,TOTAL,PER,MT	250905 	255937 	267514 	294695 	319091 	340392 	359064 	375819 	390981 	404777 	416472 	425075 	430174 	431894 	430654 	427306 	423133 	418814 
A,HMIGR,F,TOTAL,PER,NL	8845204 	8994854 	9148857 	9350957 	9529525 	9681060 	9783572 	9852334 	9902508 	9954820 	10020481 	10099671 	10168434 	10210987 	10221917 	10210597 	10189682 	10166890 
